"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3130000","3130000-101-1970-02282","19701217","","01","영업/정상","01","영업","","","","","02 7162413","185.08","121876","서울특별시 마포구 용강동 494-61번지 2층, 3층 ","서울특별시 마포구 토정로 268 (용강동,2층, 3층)","04162","부영각","2018-06-11 15:35:20","I","2018-08-31 23:59:59.0","중국식","194584.258580065    ","448920.303378187    ","중국식","2","1","기타","지도","상수도전용","","","","","","","","","Y","185.08","","",""
"3130000","3130000-101-1971-00749","19711104","","01","영업/정상","01","영업","","","","","0207178906","30.00","121875","서울특별시 마포구 용강동 40-1번지 ","서울특별시 마포구 토정로 313 (용강동)","04166","태순집","2014-02-26 13:31:07","I","2018-08-31 23:59:59.0","한식","194986.978304208    ","448633.912588529    ","한식","1","2","기타","지도","상수도전용","","","","","","","","","N","30","","",""
"3130000","3130000-101-1971-00754","19710602","","01","영업/정상","01","영업","","","","","0207166661","140.40","121875","서울특별시 마포구 용강동 50-14번지 ","서울특별시 마포구 토정로 312 (용강동, 2층)","04165","마포옥하우스","2018-06-11 15:35:45","I","2018-08-31 23:59:59.0","한식","194923.164555392    ","448625.162713605    ","한식","2","3","기타","지도","상수도전용","","","","","","","","","Y","140.4","","",""
"3130000","3130000-101-1971-08714","19711123","","01","영업/정상","01","영업","","","","","02 7179021","90.61","121812","서울특별시 마포구 도화동 179-7 ","서울특별시 마포구 새창로2길 13 (도화동)","04168","도화곱창","2021-11-25 10:55:16","U","2021-11-27 02:40:00.0","한식","195461.952406673    ","448786.713120323    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","90.61","","",""
"3130000","3130000-101-1973-00744","19730823","","01","영업/정상","01","영업","","","","","02 7027462","23.17","121875","서울특별시 마포구 용강동 43-2 ","서울특별시 마포구 토정로 311 (용강동)","04166","조박집투","2021-11-15 11:44:27","U","2021-11-17 02:40:00.0","호프/통닭","194942.826259813    ","448658.09546713     ","호프/통닭","1","1","기타","을","상수도전용","0","0","0","0","0","","0","0","N","23.17","","",""
"3130000","3130000-101-1976-00632","19760108","","01","영업/정상","01","영업","","","","","02 7120985","208.32","121813","서울특별시 마포구 도화동 343-1번지 ","서울특별시 마포구 도화2길 4 (도화동)","04172","외백","2017-11-24 16:10:28","I","2018-08-31 23:59:59.0","중국식","195390.838405659    ","448670.093333291    ","중국식","2","3","기타","지도","상수도전용","","","","","","","","","N","208.32","","",""
"3130000","3130000-101-1976-00774","19760114","","01","영업/정상","01","영업","","","","","02 7175551","160.00","121070","서울특별시 마포구 용강동 502 래미안마포리버웰 121동 201,202호","서울특별시 마포구 토정로31길 23, 121동 201.202호 (용강동, 래미안마포리버웰)","04161","조마루뼈다귀마포점","2020-12-22 10:49:06","U","2020-12-24 02:40:00.0","한식","194792.946492694    ","448900.109548096    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","160","","",""
"3130000","3130000-101-1976-00926","19760901","","01","영업/정상","01","영업","","","","","02 7180825","14.30","121872","서울특별시 마포구 염리동 148-24번지 ","서울특별시 마포구 백범로 127-20 (염리동)","04138","태종대","2000-04-14 00:00:00","I","2018-08-31 23:59:59.0","한식","195127.631068806    ","449368.179600164    ","한식","1","1","주택가주변","지도","상수도전용","","","","","","","","","N","14.3","","",""
"3130000","3130000-101-1976-02360","19761206","","01","영업/정상","01","영업","","","","","02 3370070","33.28","121886","서울특별시 마포구 합정동 393-20","서울특별시 마포구 포은로 12 (합정동)","04026","주과려","2022-11-02 10:16:43","U","2021-11-01 00:04:00.0","중국식","191937.292546087","449674.164243472","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1976-03765","19761105","","01","영업/정상","01","영업","","","","","02 3268440","19.25","121862","서울특별시 마포구 아현동 618-8번지 외3필지 1F ","서울특별시 마포구 마포대로 179 (아현동,외3필지 1F)","04130","빽다방 마포경찰서점","2020-02-26 09:44:43","U","2020-02-28 02:40:00.0","분식","195942.949026376    ","449788.340246381    ","분식","0","1","기타","을","상수도전용","","","","","","","","","N","19.25","","",""
"3130000","3130000-101-1976-04317","19760528","","01","영업/정상","01","영업","","","","","02 3237769","59.40","121807","서울특별시 마포구 노고산동 54-28번지 지하1층 일부 ","서울특별시 마포구 신촌로16길 20 (노고산동,지하1층 일부)","04057","엘피와음악사랑","2011-05-09 10:18:15","I","2018-08-31 23:59:59.0","호프/통닭","194146.51739165     ","450284.204880015    ","호프/통닭","1","2","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","59.4","","",""
"3130000","3130000-101-1977-00595","19770923","","01","영업/정상","01","영업","","","","","02 7129526","44.20","121813","서울특별시 마포구 도화동 335-2번지 ","서울특별시 마포구 도화길 20-4 (도화동, 1층)","04172","한양설농탕","2012-06-07 17:33:12","I","2018-08-31 23:59:59.0","한식","195358.860900827    ","448658.641012988    ","한식","0","2","기타","지도","상수도전용","","","","","","","","","N","44.2","","",""
"3130000","3130000-101-1977-01046","19770404","","01","영업/정상","01","영업","","","","","0207153196","67.83","121806","서울특별시 마포구 노고산동 31-23번지 ","서울특별시 마포구 신촌로20길 12 (노고산동, 1층 일부)","04102","벌떼식당","2013-04-25 12:47:13","I","2018-08-31 23:59:59.0","한식","194461.846863217    ","450265.834482196    ","한식","2","3","결혼예식장주변","지도","상수도전용","","","","","","","","","N","67.83","","",""
"3130000","3130000-101-1977-01055","1977-10-13","","01","영업/정상","01","영업","","","","","02 3364479","110.10","121-807","서울특별시 마포구 노고산동 54-2","서울특별시 마포구 신촌로12가길 36 (노고산동)","04057","사랑채","2023-11-24 13:49:38","U","2022-10-31 22:06:00.0","한식","194145.039455348","450336.147389247","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1978-00573","19780529","","01","영업/정상","01","영업","","","","","02 7194301","65.86","121813","서울특별시 마포구 도화동 343-2번지 ","서울특별시 마포구 도화길 22 (도화동)","04172","마포원조삼계탕","2014-02-26 13:49:36","I","2018-08-31 23:59:59.0","한식","195380.795677864    ","448668.055020435    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","65.86","","",""
"3130000","3130000-101-1978-04066","19780116","","01","영업/정상","01","영업","","","","","02 7166784","33.20","121876","서울특별시 마포구 용강동 122-9 ","서울특별시 마포구 토정로 288 (용강동)","04163","생활맥주 마포역점","2021-06-22 10:15:36","U","2021-06-24 02:40:00.0","한식","194734.534461216    ","448787.006888155    ","한식","1","2","기타","지도","상수도전용","","","","","","","","","N","33.2","","",""
"3130000","3130000-101-1979-00347","1979-02-01","","01","영업/정상","01","영업","","","","","0207123300","56.12","121-802","서울특별시 마포구 공덕동 119-45","서울특별시 마포구 마포대로14길 16, 1층 (공덕동)","04210","신촌식당","2023-11-24 10:21:54","U","2022-10-31 22:06:00.0","한식","196064.999851888","449551.681729164","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1980-00354","19800426","","01","영업/정상","01","영업","","","","","02 7132693","73.09","121803","서울특별시 마포구 공덕동 242-38번지 지상1층지하1층 ","서울특별시 마포구 마포대로12길 35 (공덕동,지상1층지하1층)","04211","마포나루김치찌개","2017-08-17 12:57:42","I","2018-08-31 23:59:59.0","한식","195936.868739804    ","449443.450463233    ","한식","0","0","기타","자율","상수도전용","","","","","","","","","N","73.09","","",""
